类别ID,类别名称
CATE_0,商务皮鞋
CATE_1,小说
CATE_2,其它户外用品
CATE_3,煮蛋器
CATE_4,西服
CATE_5,女士手提包
CATE_6,点钞/验钞机
CATE_7,其他办公设备/耗材
CATE_8,饭盒袋/保温包
CATE_9,肉肠/鱼肠
CATE_10,笔记本
CATE_11,电影
CATE_12,胎教/胎心仪
CATE_13,口腔护理
CATE_14,计算器
CATE_15,鼻毛修剪器
CATE_16,保健/养生
CATE_17,牙线
CATE_18,世界音乐
CATE_19,计生用品
CATE_20,新生儿纪念/宝宝定制
CATE_21,办公用品/文具/文化用品
CATE_22,遮光罩
CATE_23,照明/光源
CATE_24,数码相机
CATE_25,精油芳疗
CATE_26,酸奶机
CATE_27,其它乐器/乐器配件
CATE_28,米粉/米糊/汤粥
CATE_29,儿童用包
CATE_30,男士润唇膏
CATE_31,男士洁面
CATE_32,手工皂/精油皂
CATE_33,搅拌/料理机
CATE_34,马桶套/马桶垫
CATE_35,牙粉/牙素
CATE_36,雪地靴
CATE_37,餐巾纸/卫生纸/湿巾
CATE_38,户外休闲服
CATE_39,掌机/PSP
CATE_40,女士手拿包
CATE_41,内裤
CATE_42,日韩流行
CATE_43,乒乓球鞋
CATE_44,施工用具
CATE_45,瑜伽配件
CATE_46,断路器
CATE_47,刘海/接发/马尾/发包
CATE_48,甩脂机
CATE_49,爵士/蓝调
CATE_50,电熨斗
CATE_51,厨房电器配件
CATE_52,短裤/热裤
CATE_53,MacBook配件
CATE_54,窗帘
CATE_55,DIY工具
CATE_56,烹饪/美食
CATE_57,假睫毛/双眼皮贴
CATE_58,消毒液
CATE_59,轻音乐
CATE_60,马甲
CATE_61,古籍
CATE_62,工作站
CATE_63,围巾/丝巾
CATE_64,徒步鞋
CATE_65,儿童床上用品
CATE_66,电脑/办公
CATE_67,家具
CATE_68,汽车安全防盗/儿童椅/跟踪器
CATE_69,数据线
CATE_70,妈妈奶粉
CATE_71,工艺礼品/摆件
CATE_72,参类滋补品
CATE_73,凉鞋/运动沙滩鞋
CATE_74,电脑音箱
CATE_75,其它书写工具
CATE_76,组合/迷你音响
CATE_77,椅/凳/塌类
CATE_78,综合训练鞋/健身鞋
CATE_79,视频软件
CATE_80,自行车/骑行/配件
CATE_81,读卡器
CATE_82,仪表仪器
CATE_83,香薰
CATE_84,其它相关项目
CATE_85,户外垫子/地席/压缩枕头
CATE_86,教育培训
CATE_87,艺术
CATE_88,奶瓶/奶嘴
CATE_89,酒柜
