	评论
0	电脑收到，包装不错还送了小东东！电脑超薄轻巧，镁铝合金属材质 很nice~其实金属壳比塑料壳散热效果会更好好，这就是为什么iphone用的是金属边框哦~~另外运行方面也是没的说多开软件运行很流畅，日常办公用打开的软件比较多 微信、办公软件 QQ、QQ音乐、偶尔看看电视什么的都行、同时打开都毫无压力，这个价买到这么好的配置可以说性价比是非常非常非常的高，赞一个
1	电脑价格蛮优惠的，红色yyds真的好好看、外观整机颜值、喜庆大方还很耐看，个人真的真的真的超喜欢，款式非常轻薄便携，一只手可以举起的重量，，很适合作为便携工作本功能性足够，目前为止操作流畅，价格也不高，学生可以考虑入手，推荐！
2	活动期间购买的电脑，比较划算，用来学习、办公、上网比较流畅，这个配置也完全够用，电脑是轻薄本，外观很漂亮，平时出去也方便带着，如果是玩游戏的话建议选金属本16G 512的4K屏，打个英雄联盟CF 、LOL 、DNF、比较合适，双铜管散热，散热性能很好，也没有噪音，值得购买。
3	刚刚入手，感觉不错，外观材质看起来都非常哇塞，而且电脑整体非常轻，本人喜欢轻一点的，毕竟学生党日常上课带比较重的电脑真的不方便，价格对学生党也非常友好，了解 了很久才下单的，平常就是拿来看看剧，基础办公这种情况，电池续航能力也还行。
4	新升级的金属旗舰电脑没有让我失望，运行速度快且流畅，屏幕显示清晰，窄边框全面屏，没有大黑边，显示范围更广，追剧看电影，办公舒服多了。像我这种经常要用电脑处理文件和追剧的真的非常适合。外观线条就像女人的S曲线一样，颜值高，航空金属磨砂外壳，手感好，不沾指纹，机身很薄很轻，整体很满意
5	这款电脑外观没的说，轻薄，超喜欢银色的??。基本上没有杂音，屏幕也很清晰，值得入手。我主要是用来处理些文档，希望电池耐用！
6	顺丰物流很快，包装得很严实、双重包装收到就迫不及待的打开来，和我想象的很相符，电脑轻薄，出门携带应该很不错，全机金属超薄铝镁合金外壳不觉得重，现在电脑试用了几天了，4K屏幕分辨率也很不错的，看剧视觉效果很棒，听歌音质也是不错的，完全满足了我的需求，哈哈。店家送的礼品还是很喜欢的，包包质量不错，还有鼠标，鼠标垫，键盘膜这些，真的很实用，都不用我自己购买了，贴心，赞哦
7	买电脑之前真的是头都大了，不知道选什么。无意之间看到这款电脑。我去问客服一些问题，芈月客服真的是不厌其烦的给我讲，态度也很好，我是咨询了一周的问题才决定买这款电脑的，芈月客服给我讲了很多与电脑相关的问题，因为我平时办公偶尔小孩可以用来玩玩游戏之类的，所以选了一个高配款的配置，想着用起来运行游戏方面可以跟得上，用了一段时间啦！打游戏、办公运行速度挺快的，也没见孩子说卡什么的，大小也合适，外观金属材质也不重。机身整机很轻薄
8	用了几天才来评价，实体店里面卖的都太贵了，就想网上买台好了 ，我看这家的电脑是全网销量最好的，应该性价比很高，果然这款电脑让我很满意 颜色很漂亮 超薄机身 很小巧便携 而且开机很快。
9	外观材质：选的尊贵银，金属版的，这个价位性价比最高！ 显卡效果：办公用的话非常可以。 电脑性能：使用起来流畅，做word文档时没有卡顿，工作时用得心应手。
10	其他特色：????第一次玩手提笔记本，感觉也很好的哦，以前都是用台式的！手提的就是便携，轻巧！随身携带！电脑挺好的，配置都可以，速度快捷，网速给力，随应随到，我的中配！用来自己办公专用！很不错的选择！服务又很不错哦，
11	一开始看上就是因为外观符合我要求，15.6全面屏、外观颜值超高，机身够薄、方便携带性价比也非常非常高，开机速度快，运行速度好好好，另外就是屏幕非常清晰，显然我买得超值，真的是非常非常喜欢这电脑，毕竟是颜值控，适合办公，学习，我选的套餐不适合打游戏，下面来一条测评，首先开机大约10秒左右，纯净版的系统（桌面很干
12	不错跟我预想的一样，外观金属材质，果然听客服介绍没错，外观看起来高端大气 一点都不像是两三千能买到的电脑，选到的配置也非常满意呢~这款笔记本真的很好，即便是金属材质的也很轻的很方便携带 还不厚&hellip; 客服芈月（小姐姐）人也超好???，远程帮我激活了windows。嗯，一次很满意的购物
13	外观材质：金属质感很好，电脑也比较轻薄 电脑性能：办公用足够，打开软件很快，也不卡 只看看评论心里还有点担心，买回来试了一下办公用足够了，好评。
14	挺不错的，比较超薄，速度还是挺快的，蓄电功能一般，不过还好，我们一般也是查的应用的，总体来说，这个价位这个程度也算不错了，基本运行都比较顺畅，一般平面简单的平面制作或者是办公肯定是没有问题
15	电脑很漂亮，外观整机金属材质看起来高端大气上档次，如卖家说的很薄，携带出门很方便，物流相当的快昨天下午付款第二天下午就到手了，很给力，给买家一个赞。网页打开速度快，键盘使用效果不错，触摸板反应灵敏，笔记本各类接口齐全。而且芈月客服很好，态度好。
16	用了十天左右，感觉还行，一般办公室文件使用还是能满足，这个价格这么大的屏幕，相对以前买超薄本来说，值得咯。
17	经过再三的犹豫，再三的考虑，反复的查询，反复的对比，最终把目光锁定在了这一家，首先是被这个电脑华丽的外观所吸引，强烈的金属感十足，其次打开详细介绍，更加的震惊了，超高端的配置，超高的性价比，另外口碑 也是很好，，所以和家人一商量就决定买这一-款。于是，怀着期待的眼神等待了三天，终于到货了，迫不及待的去打开，拿出来后的第一一眼，就觉得这电脑真的值了，确认过眼神，它就是我的意中人。顺带贴了贴膜，也还不错，挺满意的。另外在 购买它的时候客服也是有问必答，态度很好，帮我解决了不少困难，尤其是激活windows的时候。总体来说，目前为止对于产品是很满意的。
18	电脑外观设计很好看，手感不错。 办公学习看视频玩游戏轻轻松松，15.6的屏窄边框设计，W10系统，散热性很好，完全不用担心散热问题，配送的鼠标鼠标垫键盘膜都很好用，非常满意
19	这个本本非常棒，超薄，漂亮，开机速度很快，用着很顺手，我主要用来办公，最主要的是便携，所以这款超级符合我的要求。快递也很快就收到了，还有很多的赠品，不需要自己再配其他的东西了，很满意的一个购物
20	笔记本非常轻薄，清晰度满足日常需要，收到电脑后基本上每晚都玩几个小时，没有出现卡顿的现象，触控板也很丝滑，很清晰，感到非常满意，配置绝对杠杠的，性价比非常高了。
21	外观材质：非常高级的银色，手感不错 电脑性能：目前还没深入使用，但开机很流畅，暂未出现卡顿情况 物流速度杠杠的，客服特别耐心，对我这种电脑小白讲解的很细致，耐心指导下成功激活电脑。??????
22	本还挺轻薄的，整机机身15.6英寸、常规尺寸刚刚好，不会太大~出差的时候携带很方便，连wifi 无线 热点运行很流畅，不卡顿~刚开始看到价格这么便宜还一直纠结，毕竟我是第一次买笔记本电脑、对电脑也不了解这些、也担心收到会不会是二手机子，难免会有点小担心的，从下单咨询到收到货最终没有让我失望，芈月客服也很有耐心为我解答，主要是用来办公的，这个价格能买到这样电脑很值得，商家发的顺丰物流很也快，先用一段时间，到时候再追评哦！
23	电脑刚到货就迫不及待打开测试！很奈斯！整体感觉不错，运行速度挺快，这次购买真的物超所值，会推荐给身边朋友购买！
24	给老公买来工作用的  老公说画质还是比较流畅的 颜色很也漂亮 质感很好  值得购买
25	电脑用着非常好，第一次买总体感觉还不错的样子如果后续没什么问题的话我也会推荐别的朋友来买
