content_type,index_content,nature,word,index_word
pos,1,ns,东西,0
pos,1,v,收到,1
pos,1,r,这么久,2
pos,1,v,忘,3
pos,1,v,好评,4
pos,1,n,品牌,5
pos,1,v,值得,6
pos,1,n,信赖,7
pos,1,ns,东西,8
pos,1,n,整体,9
pos,1,n,个人感觉,10
pos,1,a,不错,11
pos,1,v,值得,12
pos,1,v,拥有,13
pos,2,v,安装,0
pos,2,nr,师傅,1
pos,2,n,力,2
pos,2,v,感谢,3
pos,4,v,收到,0
pos,4,vn,自营,1
pos,4,n,商品,2
pos,4,n,发货,3
pos,4,n,速度,4
pos,4,n,品质,5
pos,4,v,保障,6
pos,4,v,安装,7
pos,4,n,效果,8
pos,4,nr,宝贝,9
pos,4,v,喜欢,10
pos,4,t,冬天,11
pos,4,n,小时,12
pos,4,n,热水,13
pos,4,vn,自营,14
pos,4,v,值得,15
pos,4,n,信赖,16
pos,4,v,值得,17
pos,4,v,推荐,18
pos,4,vn,自营,19
pos,5,m,几次,0
pos,5,n,评价,1
pos,5,n,产品,2
pos,5,v,满意,3
pos,5,v,加热,4
pos,5,n,保温,5
pos,5,n,时间,6
pos,5,a,长,7
pos,5,l,售后服务,8
pos,5,d,特别,9
pos,5,b,主动,10
pos,5,l,打电话,11
pos,5,v,询问,12
pos,5,v,送货,13
pos,5,n,情况,14
pos,5,v,帮,15
pos,5,v,安装,16
pos,5,i,非常感谢,17
pos,5,n,售后,18
pos,5,n,大姐,19
pos,5,vn,服务,20
pos,5,t,下次,21
pos,5,v,购买,22
pos,6,l,物美价廉,0
pos,6,d,特别,1
pos,6,v,划算,2
pos,6,v,加热,3
pos,6,n,速度,4
pos,6,s,家里,5
pos,6,a,不错,6
pos,6,d,特别,7
pos,10,v,安装,0
pos,10,n,小哥,1
pos,10,vn,工作,2
pos,10,d,尽心,3
pos,10,m,家,4
pos,10,n,老房子,5
pos,10,v,安装,6
pos,10,m,家,7
pos,10,n,费力,8
pos,10,v,安装,9
pos,10,a,不错,10
pos,10,m,整栋,11
pos,10,n,楼,12
pos,10,n,热水,13
pos,10,n,裙子,14
pos,10,v,只能,15
pos,10,v,装,16
pos,10,n,小哥,17
pos,10,m,点,18
pos,10,v,赞,19
pos,10,m,二个,20
pos,10,i,一如既往,21
pos,10,v,好用,22
pos,10,n,品牌,23
pos,10,n,质量,24
pos,13,n,购物,0
pos,13,n,电器,1
pos,13,v,问,2
pos,13,n,型号,3
pos,13,n,型号,4
pos,13,v,相识,5
pos,13,j,家电,6
pos,13,n,下线,7
pos,13,v,安装,8
pos,13,nr,师傅,9
pos,13,a,挺好,10
pos,13,v,加热,11
pos,13,d,很快,12
pos,13,n,购物,13
pos,13,v,满意,14
pos,13,v,走用,15
pos,13,n,安装费,16
pos,13,nr,花元,17
pos,13,v,喷头,18
pos,13,g,槊,19
pos,13,n,料,20
pos,13,v,花,21
pos,13,n,伞,22
pos,13,v,安装,23
pos,13,an,麻烦,24
pos,15,v,满意,0
pos,15,n,价格,1
pos,15,n,产品质量,2
pos,15,n,货运,3
pos,15,v,安装,4
pos,15,vn,调试,5
pos,15,n,工作人员,6
pos,15,n,服务态度,7
pos,15,l,售后服务,8
pos,16,n,收费,0
pos,16,v,安装,1
pos,16,n,速度,2
pos,16,d,很快,3
pos,16,n,管道,4
pos,16,v,走,5
pos,16,d,整齐,6
pos,16,a,不错,7
pos,17,m,几天,0
pos,17,v,想,1
pos,17,v,晒,2
pos,17,n,差点,3
pos,17,v,忘,4
pos,17,r,这款,5
pos,17,v,喜欢,6
pos,19,a,不错,0
pos,19,v,安装,1
pos,19,n,人员,2
pos,19,n,专业,3
pos,19,v,值得,4
pos,19,n,信赖,5
pos,22,d,真心,0
pos,22,n,感觉,1
pos,22,a,不错,2
pos,22,v,装,3
pos,22,t,当晚,4
pos,22,m,三个,5
pos,22,a,冲凉,6
pos,22,n,热水,7
pos,22,v,没用,8
pos,22,v,好评,9
pos,23,d,真心,0
pos,23,a,不错,1
pos,23,v,喜欢,2
pos,23,n,品牌,3
pos,23,v,赞,4
pos,25,a,完美,0
pos,25,v,不用,1
pos,25,t,天天,2
pos,25,ns,太阳,3
pos,27,n,质量,0
pos,27,a,不错,1
pos,27,n,暖水,2
pos,27,v,挺快,3
pos,27,v,支持,4
pos,29,t,凌晨,0
pos,29,m,一点,1
pos,29,n,下单,2
pos,29,m,点,3
pos,29,v,送到,4
pos,29,m,点,5
pos,29,n,员工,6
pos,29,ns,上门,7
pos,29,v,安装,8
pos,29,n,速度,9
pos,29,n,效率,10
pos,29,v,扛,11
pos,29,v,扛,12
pos,29,d,特别,13
pos,29,v,赞扬,14
pos,29,v,安装,15
pos,29,nr,师傅,16
pos,29,d,特别,17
pos,29,n,专业,18
pos,29,v,进门,19
pos,29,v,换上,20
pos,29,n,鞋套,21
pos,29,v,安装,22
pos,29,n,过程,23
pos,29,n,弄脏,24
pos,29,n,地方,25
pos,29,v,擦,26
pos,29,a,干净,27
pos,29,v,好评,28
pos,29,vn,试用,29
pos,29,n,量,30
pos,29,m,两三个,31
pos,29,n,人用,32
pos,29,a,合适,33
pos,30,ns,东西,0
pos,30,a,不错,1
pos,30,n,价格,2
pos,30,vn,实惠,3
pos,30,v,试,4
pos,30,v,加热,5
pos,30,d,很快,6
pos,30,n,省,7
pos,30,n,电,8
pos,30,n,老爸,9
pos,30,a,很大,10
pos,30,n,气,11
pos,30,vn,遥控,12
pos,30,nr,灵敏,13
pos,30,n,客服,14
pos,30,v,负责,15
pos,30,v,安装,16
pos,30,v,花,17
pos,30,n,规范,18
pos,30,i,强烈推荐,19
pos,31,m,十四号,0
pos,31,v,送到,1
pos,31,n,电话,2
pos,31,nr,师傅,3
pos,31,v,安装,4
pos,31,nr,师傅,5
pos,31,n,态度,6
pos,31,a,不错,7
pos,31,a,干活,8
pos,31,a,细致,9
pos,31,v,拆,10
pos,31,m,几年,11
pos,31,v,没擦,12
pos,31,n,墙面,13
pos,31,v,擦,14
pos,31,a,干净,15
pos,31,v,赞,16
pos,31,n,收费,17
pos,31,n,块钱,18
pos,31,v,装,19
pos,31,v,没用,20
pos,31,nrt,海尔,21
pos,31,m,四年,22
pos,31,n,漏水,23
pos,31,n,售后,24
pos,31,n,内胆,25
pos,31,v,漏,26
pos,31,v,修,27
pos,31,a,新,28
pos,31,v,保修,29
pos,31,t,八年,30
pos,31,n,总体,31
pos,31,a,不错,32
pos,31,v,好评,33
pos,32,v,满意,0
pos,32,n,售后,1
pos,32,n,认真负责,2
pos,32,n,货物,3
pos,32,v,到达,4
pos,32,n,目的地,5
pos,32,vn,咨询,6
pos,32,v,安装,7
pos,32,n,事宜,8
pos,32,n,指导,9
pos,32,v,安装,10
pos,32,n,人员,11
pos,32,d,到场,12
pos,32,n,厂家,13
pos,32,n,感觉,14
pos,32,a,不愧,15
pos,32,n,销量,16
pos,32,a,高,17
pos,32,v,安装,18
pos,32,n,人员,19
pos,32,v,讲解,20
pos,32,a,细致,21
pos,32,i,从头到尾,22
pos,32,d,满分,23
pos,32,v,好评,24
pos,33,n,质量,0
pos,33,n,卖家,1
pos,33,v,描述,2
pos,33,i,完全一致,3
pos,33,v,满意,4
pos,33,d,真的,5
pos,33,v,喜欢,6
pos,33,v,超出,7
pos,33,n,期望值,8
pos,33,n,发货,9
pos,33,n,速度,10
pos,33,v,包装,11
pos,33,ad,仔细,12
pos,33,ad,严实,13
pos,33,n,物流,14
pos,33,n,公司,15
pos,33,n,服务态度,16
pos,33,v,运送,17
pos,33,n,速度,18
pos,33,d,很快,19
pos,33,v,满意,20
pos,33,n,购物,21
pos,35,v,收到,0
pos,35,v,安装,1
pos,35,a,挺好用,2
pos,35,n,质量,3
pos,35,a,不错,4
pos,35,l,安装工人,5
pos,35,n,服务态度,6
pos,35,vn,教给,7
pos,35,v,快递,8
pos,35,v,挺快,9
pos,35,v,满意,10
pos,36,l,一段时间,0
pos,36,n,总体,1
pos,36,n,感觉,2
pos,36,a,不错,3
pos,36,n,保温,4
pos,36,n,性能,5
pos,36,n,遥控器,6
pos,36,n,功能,7
pos,36,n,小孩子,8
pos,36,v,值得,9
pos,36,v,推荐,10
pos,39,n,速度,0
pos,39,m,第一次,1
pos,39,n,订单,2
pos,39,q,点,3
pos,39,n,事故,4
pos,39,n,地址,5
pos,39,v,选错,6
pos,39,n,区域,7
pos,39,a,幸好,8
pos,39,n,客服,9
pos,39,v,帮忙,10
pos,39,vn,活动,11
pos,39,n,价格比,12
pos,39,t,平时,13
pos,39,vn,优惠,14
pos,39,v,安装,15
pos,39,n,热水,16
pos,39,d,很快,17
pos,39,n,功耗,18
pos,39,n,牌子,19
pos,39,v,安装,20
pos,39,nr,师傅,21
pos,39,v,安装,22
pos,39,n,材料,23
pos,39,n,报表,24
pos,39,n,报表,25
pos,39,nz,打勾,26
pos,39,a,完美,27
pos,40,r,每次,0
pos,40,v,喜欢,1
pos,40,ns,东西,2
pos,40,m,几天,3
pos,40,m,几天,4
pos,40,d,特别,5
pos,40,v,放心,6
pos,40,n,品牌,7
pos,40,a,简单,8
pos,40,a,漂亮,9
pos,40,v,喜欢,10
pos,40,f,侧面,11
pos,40,v,安装,12
pos,40,b,主动,13
pos,40,l,打电话,14
pos,40,v,问,15
pos,40,n,价格,16
pos,40,a,明,17
pos,40,r,我家,18
pos,40,a,旧,19
pos,40,v,拆下来,20
pos,40,v,换,21
pos,40,a,新,22
pos,40,v,安装,23
pos,40,nr,师傅,24
pos,40,d,很快,25
pos,40,v,弄,26
pos,40,n,态度,27
pos,40,n,手脚,28
pos,40,nr,麻利,29
pos,40,v,花,30
pos,40,n,块钱,31
pos,40,v,拆,32
pos,40,n,旧机,33
pos,40,n,管子,34
pos,40,n,钱,35
pos,40,ad,仔细,36
pos,40,v,算,37
pos,40,d,反正,38
pos,40,n,效果,39
pos,40,l,无所谓,40
pos,40,a,旧,41
pos,40,m,年,42
pos,40,v,没坏,43
pos,40,n,品牌,44
pos,40,v,没了,45
pos,40,v,希望,46
pos,40,l,经久耐用,47
pos,41,v,满意,0
pos,41,v,送货,1
pos,41,nr,师傅,2
pos,41,v,搬到,3
pos,41,n,楼,4
pos,41,v,安装,5
pos,41,nr,师傅,6
pos,41,a,不错,7
pos,42,t,昨天,0
pos,42,v,装,1
pos,42,m,第一次,2
pos,42,n,烧水,3
pos,42,d,很快,4
pos,42,n,性价比,5
pos,42,v,超高,6
pos,44,n,下单,0
pos,44,v,安装,1
pos,44,n,正品,2
pos,44,v,值得,3
pos,44,v,推荐,4
pos,48,n,外观,0
pos,48,n,时尚,1
pos,48,d,简约,2
pos,48,n,白色,3
pos,48,v,显,4
pos,48,n,大气,5
pos,48,n,一键,6
pos,48,d,快速,7
pos,48,v,升温,8
pos,48,n,省,9
pos,48,ng,时,10
pos,48,n,一键,11
pos,48,n,中温,12
pos,48,n,保温,13
pos,48,n,省力,14
pos,48,l,远红外,15
pos,48,vn,遥控,16
pos,48,v,控制,17
pos,48,a,便捷,18
pos,48,n,液晶,19
pos,48,n,大屏,20
pos,48,i,一目了然,21
pos,48,v,安装,22
pos,48,nr,师傅,23
pos,48,n,细心,24
pos,48,v,周到,25
pos,48,vn,服务,26
pos,48,an,温暖,27
pos,48,v,送,28
pos,48,n,小花,29
pos,48,v,洒,30
pos,48,a,正好,31
pos,48,r,我家,32
pos,48,a,坏,33
pos,48,i,无微不至,34
pos,48,n,品牌,35
pos,48,v,值得,36
pos,48,n,信赖,37
pos,49,n,线,0
pos,49,v,拍下,1
pos,49,n,产品,2
pos,49,n,发货,3
pos,49,n,速度,4
pos,49,d,很快,5
pos,49,v,预约,6
pos,49,ns,上门,7
pos,49,v,安装,8
pos,49,v,安装,9
pos,49,n,人员,10
pos,49,n,业务,11
pos,49,a,熟练,12
pos,49,n,素质,13
pos,49,a,高,14
pos,49,n,牌子,15
pos,49,v,值得,16
pos,49,n,信赖,17
pos,49,v,加热,18
pos,49,v,升水,19
pos,49,zg,够,20
pos,49,m,两个,21
pos,49,n,人用,22
pos,49,a,愉快,23
pos,49,n,购物,24
pos,49,n,体验,25
pos,49,n,性价比,26
pos,49,a,极高,27
pos,49,m,一款,28
pos,51,n,购物,0
pos,51,v,快递,1
pos,51,n,力,2
pos,51,n,购物,3
pos,51,v,快递,4
pos,51,n,力,5
pos,51,v,理解,6
pos,51,v,送货,7
pos,51,n,量,8
pos,51,nr,大师傅,9
pos,51,l,忙不过来,10
pos,51,nr,宝贝,11
pos,51,v,留心,12
pos,51,n,客服,13
pos,51,n,人员,14
pos,51,v,告知,15
pos,51,v,算,16
pos,51,a,倒霉,17
pos,51,v,安装,18
pos,51,v,安装,19
pos,51,nr,师傅,20
pos,51,d,很好,21
pos,51,nr,顾客,22
pos,51,v,安装,23
pos,51,v,好看,24
pos,51,v,周到,25
pos,51,n,关心,26
pos,51,n,收费,27
pos,51,m,两个,28
pos,51,n,脚法,29
pos,51,n,管子,30
pos,51,n,收费,31
pos,51,v,满意,32
pos,51,n,购物,33
pos,51,t,下次,34
pos,51,n,用后感,35
pos,52,n,品牌,0
pos,52,v,值得,1
pos,52,n,信赖,2
pos,52,v,就用,3
pos,52,n,新房子,4
pos,52,v,装修,5
pos,52,n,售后,6
pos,52,d,特别,7
pos,52,a,正规,8
pos,52,v,安装,9
pos,52,n,人员,10
pos,52,v,进门,11
pos,52,n,穿鞋,12
pos,52,q,套,13
pos,52,a,耐心,14
pos,52,v,谅解,15
pos,52,v,贴心,16
pos,52,v,满意,17
pos,52,n,购物,18
pos,53,v,购买,0
pos,53,vn,自营,1
pos,53,n,商品,2
pos,53,v,拥有,3
pos,53,t,七天,4
pos,53,n,理由,5
pos,53,n,退换货,6
pos,53,n,消费者,7
pos,53,v,无忧,8
pos,53,v,购买,9
pos,53,v,送货,10
pos,53,n,电,11
pos,53,n,电子,12
pos,53,n,百货,13
pos,53,n,厂品,14
pos,53,v,购买,15
pos,53,n,信赖,16
pos,53,vn,自营,17
pos,55,zg,升,0
pos,55,v,预约,1
pos,55,v,洗浴,2
pos,55,n,无线,3
pos,55,vn,遥控,4
pos,55,a,不错,5
pos,55,v,送货,6
pos,55,v,安装,7
pos,55,a,不错,8
pos,55,nrt,家里人,9
pos,55,v,满意,10
pos,55,zg,升,11
pos,55,v,预约,12
pos,55,v,洗浴,13
pos,55,n,无线,14
pos,55,vn,遥控,15
pos,55,a,不错,16
pos,55,zg,行,17
pos,55,n,价格,18
pos,55,b,总,19
pos,55,vn,波动,20
pos,57,nr,师傅,0
pos,57,v,安装,1
pos,57,n,服务态度,2
pos,57,a,不错,3
pos,57,n,品牌,4
pos,57,l,送货上门,5
pos,57,n,速度,6
pos,57,d,很快,7
pos,58,n,品牌,0
pos,58,v,值得,1
pos,58,n,信赖,2
pos,58,m,第二回,3
pos,58,v,购买,4
pos,58,v,加热,5
pos,58,n,速度,6
pos,58,v,洗澡,7
pos,58,v,不用,8
pos,58,v,送货,9
pos,58,v,安装,10
pos,58,v,安装,11
pos,58,nr,师傅,12
pos,58,n,气,13
pos,58,v,讲解,14
pos,58,v,到位,15
pos,58,nr,师傅,16
pos,58,v,还给,17
pos,58,v,收拾,18
pos,58,an,卫生,19
pos,58,d,真的,20
pos,58,v,满意,21
pos,58,v,不的,22
pos,58,d,满分,23
pos,61,a,不错,0
pos,61,nr,太棒了,1
pos,61,m,一级,2
pos,61,vn,变频,3
pos,61,v,出热,4
pos,61,n,水量,5
pos,61,n,价格,6
pos,61,a,合适,7
pos,62,n,牌子,0
pos,62,l,买回来,1
pos,62,v,值得,2
pos,62,v,撇开,3
pos,62,n,价格,4
pos,62,n,牌子,5
pos,62,v,摆在,6
pos,62,v,就让,7
pos,62,v,放心,8
pos,62,v,收到,9
pos,62,m,第一,10
pos,62,n,感觉,11
pos,62,v,升,12
pos,62,n,容积,13
pos,62,v,足够,14
pos,62,m,三个,15
pos,62,v,洗,16
pos,62,v,试,17
pos,62,a,不错,18
pos,62,v,满意,19
pos,62,n,购物,20
pos,62,nz,五星,21
pos,62,v,好评,22
pos,63,v,收到,0
pos,63,n,外观,1
pos,63,n,颜值,2
pos,63,a,高,3
pos,63,a,简洁,4
pos,63,n,大方,5
pos,63,v,预约,6
pos,63,v,安装,7
pos,63,d,很快,8
pos,63,v,到货,9
pos,63,m,第二天,10
pos,63,nr,师傅,11
pos,63,l,一大早,12
pos,63,vn,免费,13
pos,63,v,安装,14
pos,63,v,收,15
pos,63,n,材料费,16
pos,63,n,品牌,17
pos,63,v,值得,18
pos,63,n,信赖,19
pos,64,ns,东西,0
pos,64,a,不错,1
pos,64,n,质量,2
pos,64,v,实用,3
pos,64,v,后悔,4
pos,64,n,外观,5
pos,64,n,大气,6
pos,64,n,颜色,7
