content,creationTime,nickname,referenceName,content_type
快递小哥非常给力，服务态度好，耐心,2018-08-29 14:25:15,悦***狗,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
美的热水器，名副其实的大品牌。售后客服服务也很到位。因为是提前在***抢的电器，预备新房子安装用的。因为收货地址和安装地址不同，打电话预约安装也很顺利。安装师傅都很专业，服务态度也很好，主动联系客户。安装过程也很顺利，作业效率杠杠的。选择美的，就是省心。,2018-09-08 09:13:22,幸***g,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
已经安了两天，才来评价，安装师傅人不错，安得挺好的，还挺满意的一次购物！,2018-10-13 10:36:41,j***天,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
网购始终信赖京东，发货快，服务好！物流即时。一直以来始终信赖国货，家用电器尤其喜欢美的牌，从微波炉到电磁炉，还有饮水机，家里好多都是美的牌的，良心的企业。此热水器样式美观，结构合理，即热速度快，相信美的，相信京东！,2018-02-28 21:47:29,s***1,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
666！好机器。棒棒哒。双层包装，内外包装均无损坏。外观简洁大方，水容易大，加热快，保温好，易操作，配有摇控器方便实用。外观漂亮，节能设计，操作性强，功能实用，目前没有发现明显缺点、不足。1500w的60L的容量3-5人可用，操作简单方便，外观漂亮，安装服务完善，热水器安装的基本配件齐全，60L存储容量够一家使用了！,2018-07-19 00:16:28,l***4,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
下单后就打电话过来，服务态度好，快递发货快 ，送货第二天中午就送到 。安装师傅干活麻利，服务好！大品牌，值得拥有。,2018-08-30 14:25:34,j***b,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
美的是大品牌，商品不错，外观线条简约，时尚美观，外形设计： 面板工艺：镀锌基板，表面覆膜，超薄外型，美观时尚 ;高效水箱设计，更省能源;高端大气上档次，低调奢华有内涵,2018-03-27 22:07:09,j***i,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
此用户未填写评价内容,2018-09-10 21:41:26,x***y,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
买给乡下的外公，包装很好，看着很大气，上档次。送货还挺快，预约安装也快。跟618价格一样，还是蛮好的。安装费不到一百搞定了。使用简单，有温度标示，更方便了。配送的花洒也还可以，出水量适中。烧水也挺快的，夏天随时洗，冬天可能洗完还要再烧半个小时吧。,2017-07-28 18:14:29,深***鱼,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
安装师傅态度特别好，安装的挺到位,2018-10-28 13:23:23,9***8,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
挺好的！烧水加热没有那么快（2100W），但也不急那半个小时，热水连接的是大花洒，出水量绝对没问题洗着爽，加热到60度混凉水用，热水器显示水温降到40左右，但出来的热水水温没有降低，满意！满意！ 特别赞扬西安美的售后的赵师傅，赵师傅给我安装的，我是老管线改造，比较麻烦，师傅前前后后干了3个多小时，态度好，干活仔细！收费相当的实惠！点赞！,2018-10-12 09:18:08,j***q,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
很漂亮很好,2018-10-29 09:56:23,j***﹏,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
价格便宜，性价比很高，容量合适，总体挺不错的，安装好高端大气上档次，隔壁家的小孩都要来我家洗澡，场面一度控制不住了！,2018-09-12 15:57:03,T***n,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
商品质量很好，制热快，保温长，面板触摸灵敏，还带遥控器，操作方便，外观高端大气，价格便宜实惠，配送快捷、准时，师傅安装美观、快捷。值得推荐！,2018-08-29 10:17:19,jd_138102dbj,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
选了好久选的这款美的热水器，外观漂亮，安装师傅很热心态度好，美的大品牌值得推荐,2018-08-30 13:29:42,青***电,美的（Midea）2100W速热电热水器60升 无线遥控 预约洗浴 一键保温 加长防电墙F60-15WB5(Y),pos
