content_type,index_content,nature,word,index_word
pos,11,f,前,0
pos,11,s,天下,1
pos,11,v,单买,2
pos,11,v,用上,3
pos,11,v,发现,4
pos,11,s,街上,5
pos,11,v,卖,6
pos,11,a,便宜,7
pos,11,n,店家,8
pos,11,s,网上,9
pos,11,r,他家,10
pos,11,a,贵,11
pos,11,n,老板,12
pos,11,n,面,13
pos,11,s,网上,14
pos,71,n,正品,0
pos,71,d,无疑,1
pos,71,nr,信奈,2
pos,71,m,第一次,3
pos,71,n,网购,4
pos,71,n,电,5
pos,71,l,售后服务,6
pos,71,d,很快,7
pos,71,ns,上门,8
pos,71,v,安装,9
pos,71,v,安装,10
pos,71,n,费用,11
pos,71,nr,太贵,12
pos,71,n,热水,13
pos,71,v,接到,14
pos,71,l,洗脸盆,15
pos,71,n,太阳能,16
pos,71,n,管道,17
pos,71,v,改造,18
pos,71,b,总共,19
pos,71,v,花,20
pos,71,v,安装,21
pos,71,n,材料,22
pos,71,ad,详细,23
pos,71,n,单子,24
pos,71,n,坑,25
pos,71,ns,商城,26
pos,71,n,封顶,27
pos,71,d,太,28
pos,71,a,高,29
pos,71,ng,语,30
pos,71,n,感觉,31
pos,71,v,宰,32
pos,71,v,安装,33
pos,71,n,材料,34
pos,71,v,透明,35
pos,71,v,换,36
pos,71,v,混,37
pos,71,n,水阀,38
pos,71,a,很贵,39
pos,71,v,划算,40
pos,71,n,机器,41
pos,71,v,倒,42
pos,71,a,便宜,43
pos,71,n,热水,44
pos,71,v,倒,45
pos,71,d,从度,46
pos,71,v,度用,47
pos,71,n,小时,48
pos,71,q,分钟,49
pos,71,v,洗澡,50
pos,71,n,费水,51
pos,71,zg,升,52
pos,71,n,太小,53
pos,71,v,洗,54
pos,71,b,半小时,55
pos,71,mq,三十度,56
pos,71,n,空间,57
pos,71,a,有限,58
pos,71,v,要买,59
pos,71,n,大点,60
pos,71,n,容量,61
pos,77,n,品牌,0
pos,77,v,选择,1
pos,77,n,品牌,2
pos,77,n,售后,3
pos,77,n,质量,4
pos,77,v,保障,5
pos,77,m,千元,6
pos,77,v,购买,7
pos,77,n,经济,8
pos,77,vn,实惠,9
pos,77,n,电脑,10
pos,77,v,控,11
pos,77,n,温带,12
pos,77,vn,遥控,13
pos,77,n,实体店,14
pos,77,a,便宜,15
pos,77,q,级,16
pos,77,n,能耗,17
pos,77,v,加热,18
pos,77,d,稍微,19
pos,77,a,慢,20
pos,77,v,推荐,21
pos,77,v,购买,22
pos,77,v,加热,23
pos,78,n,价格合理,0
pos,78,n,卫生间,1
pos,78,m,点,2
pos,78,n,建议,3
pos,78,v,买前,4
pos,78,n,先量,5
pos,78,n,尺寸,6
pos,78,v,安装,7
pos,78,nr,师傅,8
pos,78,v,负责,9
pos,78,v,安装,10
pos,78,n,材料价格,11
pos,78,v,透明,12
pos,78,a,贵,13
pos,78,j,一共,14
pos,78,v,安装,15
pos,78,n,材料费,16
pos,78,v,花,17
pos,78,v,期待,18
pos,78,n,新房,19
pos,78,v,装修,20
pos,84,m,第一次,0
pos,84,v,买大,1
pos,84,ns,东西,2
pos,84,n,感觉,3
pos,84,nr,宝贝,4
pos,84,a,不错,5
pos,84,vn,实惠,6
pos,84,v,加热,7
pos,84,a,慢,8
pos,84,m,一点,9
pos,84,q,度,10
pos,84,v,加热,11
pos,84,d,更慢,12
pos,84,n,总体,13
pos,84,n,性价比,14
pos,84,a,高,15
pos,141,i,挺不错,0
pos,141,m,一款,1
pos,141,n,机器,2
pos,141,n,性价比,3
pos,141,a,高,4
pos,141,v,安装,5
pos,141,nr,师傅,6
pos,141,n,力,7
pos,141,t,中午,8
pos,141,l,打电话,9
pos,141,b,半小时,10
pos,143,v,装,0
pos,143,n,小时,1
pos,143,n,漏水,2
pos,143,v,喊,3
pos,143,nr,师傅,4
pos,143,v,维修,5
pos,143,v,修好,6
pos,143,n,浪费,7
pos,143,nr,顾客,8
pos,143,n,时间,9
pos,143,m,半夜,10
pos,143,a,粗心,11
pos,143,n,商家,12
pos,187,v,送货,0
pos,187,vn,服务,1
pos,187,v,周到,2
pos,187,n,外观,3
pos,187,n,高端,4
pos,187,n,大气,5
pos,187,b,上档次,6
pos,187,n,远程,7
pos,187,vn,遥控,8
pos,187,v,控制,9
pos,187,n,官方,10
pos,187,n,客服,11
pos,187,v,预约,12
pos,187,v,安装,13
pos,187,v,反馈,14
pos,187,t,当天,15
pos,187,v,确认,16
pos,187,n,时间,17
pos,187,m,第二天,18
pos,187,v,派,19
pos,187,v,安装,20
pos,187,nr,师傅,21
pos,187,v,安装,22
pos,187,nr,师傅,23
pos,187,n,专业,24
pos,187,a,耐心,25
pos,187,n,热心,26
pos,187,v,讲解,27
pos,187,n,注意事项,28
pos,187,t,当天,29
pos,187,vn,试用,30
pos,187,v,了下,31
pos,187,n,触屏,32
pos,187,n,效果,33
pos,187,v,加热,34
pos,187,n,容量,35
pos,187,v,足够,36
pos,187,n,一家人,37
pos,187,d,真心,38
pos,187,n,品牌,39
pos,187,n,性价比,40
pos,187,a,高,41
pos,187,v,后续,42
pos,187,n,效果,43
pos,187,m,第二台,44
pos,187,v,推荐,45
pos,187,s,身边,46
pos,187,n,家人,47
pos,187,n,朋友,48
pos,187,v,购买,49
pos,214,n,价格,0
pos,214,a,贵,1
pos,214,j,一共,2
pos,214,v,花,3
pos,214,m,一百块,4
pos,214,n,钱,5
pos,214,v,搞定,6
pos,214,v,安装,7
pos,214,n,人员,8
pos,214,n,专业,9
pos,214,vn,工作,10
pos,214,n,牌,11
pos,214,v,穿,12
pos,214,n,工作服,13
pos,276,n,水压,0
pos,276,v,期待,1
pos,276,n,高,2
pos,276,v,加收,3
pos,319,a,不错,0
pos,319,v,安装,1
pos,319,nr,师傅,2
pos,319,v,负责,3
pos,319,d,乱,4
pos,319,v,接,5
pos,319,n,配件,6
pos,319,v,错,7
pos,319,v,介绍,8
pos,319,n,插座,9
pos,319,v,预留,10
pos,319,v,错,11
pos,319,n,办法,12
pos,319,nz,漏电,13
pos,319,v,保护,14
pos,319,n,插座,15
pos,329,vn,遥控,0
pos,329,v,安装,1
pos,329,a,高,2
pos,329,vn,遥控,3
pos,329,zg,升,4
pos,329,n,家庭,5
pos,329,m,四五个,6
pos,329,n,人用,7
pos,337,v,安装,0
pos,337,n,小哥,1
pos,337,r,我家,2
pos,337,v,安装,3
pos,337,n,时,4
pos,337,v,发现,5
pos,337,m,几个,6
pos,337,v,接口,7
pos,337,n,漏水,8
pos,337,n,小哥,9
pos,337,v,弄,10
pos,337,n,衣袖,11
pos,337,a,湿,12
pos,337,b,总共,13
pos,337,v,收,14
pos,337,n,安装费,15
pos,337,a,良心,16
pos,350,v,安装,0
pos,350,nr,师傅,1
pos,350,v,收,2
pos,350,n,管子,3
pos,350,n,钱,4
pos,350,n,钱,5
pos,350,n,总体,6
pos,350,a,高,7
pos,350,v,后续,8
pos,350,v,观察,9
pos,373,m,第二次,0
pos,373,n,安装费,1
pos,373,d,太,2
pos,373,a,高,3
pos,373,j,一共,4
pos,373,zg,块,5
pos,373,t,明明,6
pos,373,n,安装费,7
pos,373,v,超过,8
pos,375,a,挺好用,0
pos,375,m,第一次,1
pos,375,n,烧水,2
pos,375,vn,设置,3
pos,375,zg,度,4
pos,375,n,烧水,5
pos,375,n,时间,6
pos,375,d,稍微,7
pos,375,n,长点,8
pos,375,n,关机,9
pos,375,n,保温,10
pos,375,a,久,11
pos,375,n,装机,12
pos,375,nr,师傅,13
pos,375,n,客服,14
pos,375,l,打电话,15
pos,375,v,安排,16
pos,375,n,装机,17
pos,375,b,总共,18
